"","country","FracGroups","FracParties","MeasuredSeg_transport"
"77","Dominican Republic",0.635654142145767,0.526174739701222,0.0589950203712087
"109","Ghana",0.641172839506173,0.526604938271605,0.211975308641975
"38","Burkina Faso",0.5,0.5,0.5
"174","Peru",0.5,0.5,0.5
