"","country","FracGroups","FracParties","MeasuredSeg_transport"
"28","Panama",0.447916666666667,0.665344177742511,0.10553461614759
"84","Paraguay",0.450936275221367,0.66358024691358,0.154320987654321
"58","Colombia",0.0735763982203113,0.827285346024192,0.0465331482583119
"96","Thailand",0.077088,0.821712,0.042872
