"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Bosnia and Herzegovina",0.566382609277158,0.0454472150313241,0.870316300393908,0.0733072086713388,7.02135685360848,0.82015731226409
"Lebanon",0.540080738177624,NA,0.786599417094773,NA,8.10280373831776,0.807450307313148
"Malaysia",0.539516432406552,NA,0.777222307403182,NA,5.70778840523131,0.858080855870124
"India",0.461434358550411,0.0928868032809025,0.53330211061913,0.0999978976896534,4.66025597165426,0.764252405240682
"Belgium",0.424596342736875,0.0599487234397441,0.827570461422686,0.127277940028443,7.72727787622288,0.653714489557812
"Solomon Islands",0.422340172996879,0.0218811746892859,0.528731167988594,0.040065193373178,4.26856303987064,0.827080412289728
"Kenya",0.370253265286634,NA,0.412804564003029,NA,3.07350399478232,0.82158095482033
"Pakistan",0.362481006292736,0.0650273190255806,0.551505188634836,0.131174036428642,4.02752780737083,0.70908360677538
"Mauritius",0.3477324079149,0.0963738588165989,0.530687844932023,0.10940692838125,2.66123004231175,0.727118616254876
"Afghanistan",0.346494783180584,0.0413281713207539,0.511676857975877,0.0118487529233857,6.82408036557929,0.606532884462103
"Benin",0.344297520661157,0.144226407931272,0.448593812723763,0.15758111236563,2.80504421276431,0.850557901522171
"Latvia",0.34092601746581,0.0188934644319016,0.761219931110235,0.0172076465001768,3.89305985059455,0.512852431521384
"Moldova, Republic of",0.322161747200993,0.0618521733746167,0.459050712076224,0.0991144277898524,3.64266106624164,0.727426410895058
"Macedonia",0.319822791969083,NA,0.84310580289524,NA,2.92178463233269,0.44198933499448
"Myanmar",0.318008331680222,NA,0.526307530940102,NA,1.75862742635464,0.44330792945465
"Congo, Democratic Republic of the",0.283811122589532,0.401369538718449,0.589389731708657,NA,4.68745493871666,0.44594262342446
"Guyana",0.272671848803536,NA,0.434123075301493,NA,2.86631716906946,0.842646602520515
"Burkina Faso",0.268845614052901,0.147621786685017,0.344277054490528,0.207712156988152,4.35315281983616,0.710147092314627
"Israel",0.267443608597778,0.00234821778108497,0.457093608751739,0.0125061554797139,5.80731764740892,0.625822373616282
"Mali",0.255949161709032,NA,0.400378035316952,NA,4.57107540173053,0.766210338356333
"Niger",0.253866666666667,NA,0.38972435350952,NA,4.99112688553682,0.717534392849856
"Central African Republic",0.252873563218391,NA,0.344274312423977,NA,1.91474829243612,0.784240898561375
"South Africa",0.252269485271274,0.00845642684520584,0.591268330414431,0.00904331670594245,2.17929507239822,0.576188897746401
"Zambia",0.250452274964068,0.0356161568059752,0.354047336012274,0.0876367048426199,2.52702790984855,0.787769848687888
"Guinea",0.240821179839355,NA,0.339690948172924,NA,3.57499783117897,0.783590397345137
"Montenegro",0.236734693877551,NA,0.537122375832053,NA,3.18181818181818,0.538029073404926
"Indonesia",0.217981037867292,0.0114646350183167,0.243888618328572,0.0192921417630304,6.10590849506463,0.747509853685797
"Ghana",0.216517488456893,0.00397751117475354,0.377201691626576,0.0368110045031954,2.01514851470538,0.637335996697858
"Gambia",0.21140467141755,0.0232417757308416,0.258397517364705,0.0324707392860049,1.68848234900632,0.853419567246064
"Trinidad and Tobago",0.21128892733564,NA,0.324048887096782,NA,2.54345434543454,0.722016567782194
"Guinea-Bissau",0.192085460897608,NA,0.233738142411762,NA,1.71791320406279,0.928512536569787
"Sierra Leone",0.188343728957931,0.0512676744128164,0.228978796986048,0.056846411519821,1.98626917011942,0.853796137468504
"Ecuador",0.187374020159136,0.031984942472974,0.300613967986499,0.0162999040678261,3.65868572218075,0.681551318722726
"Bolivia",0.183905325443787,0.0532212914597218,0.385958612560746,0.0668013318869712,1.95239108213742,0.796214622587284
"Spain",0.182951581044035,0.0404542065080364,0.594499761316149,0.0334671673026861,3.3991171128391,0.442614126767054
"Malawi",0.162756258966172,NA,0.265586939585601,NA,1.67732670961733,0.631464142641319
"Iran, Islamic Republic of",0.154765159882475,0.0139887267568418,0.221760337206997,0.00526069176776942,4.92945262709737,0.64417396857414
"Sri Lanka",0.152277470084266,NA,0.424700669045555,NA,7.03431402911118,0.49734538126127
"Algeria",0.151213948183151,NA,0.399149883615019,NA,5.42165982435171,0.817354458687412
"United States of America",0.149995421385184,NA,0.502144037112461,NA,1.97820179940825,0.417242264640818
"Romania",0.145797897184631,0.0122511135181266,0.841191775037225,0.0116209107417733,3.6391024388557,0.263613926880914
"Bulgaria",0.144951171875,NA,0.878844688023361,NA,3.12767257177764,0.287183357537591
"Cote d'Ivoire (Ivory Coast)",0.142441603364747,NA,0.189840059200852,NA,2.76787705698354,0.919415854662104
"Guatemala",0.136881218113189,0.0597605694169237,0.489159869450934,0.0375043398866524,4.75510385649426,0.545457128427988
"Ethiopia",0.130477115556217,NA,0.182770752813287,NA,1.4198103558632,0.662470441136188
"El Salvador",0.128324833707132,0.0286690859255525,0.438466775599128,0.0457732249150438,3.98318115545568,0.680171855068331
"Switzerland",0.125681656608913,0.0138394603114028,0.260499696894671,0.0355589739628654,5.21040432555161,0.573845172193536
"Iraq",0.123232481443774,NA,0.453329065300896,NA,1.72810935173907,0.638514626362096
"New Zealand",0.123076378690233,0.0348696693397747,0.38487581910579,0.138008231558337,2.90603972499642,0.494558991390493
"Panama",0.115519407524962,0.0347183569593076,0.277079307690852,0.0321370909137067,2.99664988907092,0.665917002078217
"Slovakia",0.110106676845873,0.0875060356672329,0.875387894883981,0.0546638810924267,4.9254648880932,0.26078685149095
"Morocco",0.110082304526749,NA,0.557291666666667,NA,6.07816571130797,0.523305613100105
