"country","AvgCleavage20","FracGroups","FracParties","qog_log_pop","qog_urban_pct","qog_gdppc_ppp_log","Democracy","Corruption_Worse","ConflictAny","EthnicConflict","growth_pct_pa"
NA,0.251304940276966,0.650462007659548,0.453689607280694,17.5068734757279,26.314,7.6680330467146,0.347,NA,1,0,NA
NA,0.00152336415488717,0.00341871258015377,0.202288588939668,14.8492877481868,62.969,9.69657435813622,0.533333333333333,NA,0,0,NA
NA,0.160391394786625,0.435773481686445,0.767622713616702,17.6037367838719,74.261,9.5949846382275,0.3165,NA,1,0,NA
NA,0.00869806094182825,0.0258448753462604,0.642537256062601,14.8419011968176,63.431,9.73501392414362,0.428,NA,0,0,NA
NA,0.0104071863061173,0.0179143463885932,0.693547544846047,16.007811590075,58.995,11.0575535259488,0.8645,NA,0,0,NA
NA,0.0087954211300147,0.0214240705734089,0.54951690821256,16.1317766380142,56.776,9.90904088894066,0.2005,NA,0,0,NA
NA,0,0.241735537190083,0,14.1961807982542,89.622,10.9032336744208,0.144,NA,0,0,NA
NA,0.00122537006175865,0.00492598764826979,0.440839133418293,18.9475150482681,38.946,8.90469661268455,0.335,NA,0,0,NA
NA,0.00637755102040815,0.0944874043367345,0.034438775510204,16.0458028764898,79.91,10.2259760462605,0.251,NA,0,0,NA
NA,0.339612493482819,0.51837429988343,0.723126569491714,16.2653248611548,98.117,11.0368741664586,0.9015,NA,0,0,NA
NA,0.342809917355372,0.748760330578513,0.654214876033058,16.3802210407437,48.972,8.1818075804759,0.6075,NA,0,0,NA
NA,0.183905325443787,0.473195266272189,0.487514792899408,NA,NA,NA,0.679,NA,0,0,NA
NA,0.470913449148301,0.65391757158964,0.827143851347115,15.000588880505,49.425,9.81991402806156,0.546,NA,0,0,NA
NA,0.0512734019227525,0.209310170349131,0.228031708551189,14.7665593679239,71.56,9.72099809429903,0.694,NA,0,0,NA
NA,0.0233461155688645,0.0500095962093065,0.383965306208048,19.1830098188,87.317,9.77978862262853,0.8145,NA,0,0,NA
NA,0.028231480672742,0.0819906258087395,0.209955260527363,15.743801103763,76.025,10.288918663922,0.6455,NA,0,0,NA
NA,0.0674241208545716,0.647003004585504,0.171308663762462,16.9111190709878,31.24,7.81105827420577,0.604,NA,0,0,NA
NA,0.0165057302282067,0.239299675899629,0.055397774733536,16.3453278722579,14.058,6.76189763819203,0.214,NA,0,0,NA
NA,0.00535659626568715,0.0293847566574839,0.200642791551882,16.6242517695344,24.668,8.44853693032676,0.259,NA,0,0,NA
NA,0.105050550792309,0.319203766319151,0.47091987682647,17.4593890896558,81.653,10.9292011201527,0.829,NA,0,0,NA
NA,0.00504419454856775,0.0134203341200426,0.291221250404924,13.284354667725,67.102,8.81784454248813,0.787,NA,0,0,NA
NA,0.126436781609195,0.358699960364645,0.238869071211521,15.5124379664042,42.648,6.96337388100426,0.3625,NA,1,0,NA
NA,0.00515259611573523,0.0417502124498932,0.133472057074911,16.7855754239696,87.817,10.2767765434768,0.885,NA,0,0,NA
NA,0.0338483962130595,0.208338669669693,0.309731423217464,21.0685279010284,62.512,9.92362001065079,0.0855,NA,0,0,NA
NA,0.0171189195138849,0.0413858296266081,0.80215216673465,17.7574139061673,81.74,9.77492845145782,0.6655,NA,1,0,NA
NA,0.25,0.375,0.5,15.5795229461257,68.283,8.75206253876396,0.26,NA,0,0,NA
NA,0.272619662534435,0.47988406795225,0.449423209366391,18.3787552032489,46.235,7.2139190456459,0.334,NA,0,0,NA
NA,0,0.0203993055555556,0.391388633812876,15.4552753271251,81.425,10.0732428220406,0.9015,NA,0,0,NA
NA,0.0473460989334005,0.375262450659276,0.212676016908821,17.1289053042199,52.18,8.7827417897761,0.504,NA,0,0,NA
NA,0.0247801587623568,0.0369052625529095,0.37439218359095,15.1710830482405,57.878,10.5249398870252,0.804666666666667,NA,0,0,NA
NA,0.0396616685890042,0.414160935252823,0.24644880174292,16.2364449262708,77.292,NA,0.171,NA,0,0,NA
NA,0,0,0.224716062736614,14.0339936662649,66.856,10.7886352091207,0.842333333333333,NA,0,0,NA
NA,0.0540840832389355,0.232047705488207,0.451742489803864,16.1674353783759,74.214,10.7876293157982,0.856,NA,0,0,NA
NA,0.0300811323759775,0.0440599570730902,0.788264645511421,15.5831024975551,88.24,11.1545195210254,0.9215,NA,0,0,NA
NA,0.0798440014211172,0.329913684046063,0.331955392812976,13.9158598383304,78.217,8.70487998885447,0.247333333333333,NA,0,0,NA
NA,0.0372568424037241,0.554985298403542,0.221924886464982,NA,NA,NA,0.583666666666667,NA,0,0,NA
NA,0.0541572919966148,0.627883070744767,0.261809364436583,16.6945818723485,64.361,9.50688372498047,0.59,NA,0,0,NA
NA,0.0020284537923419,0.00809540847693438,0.293235561457828,18.5092608548353,42.862,9.6690726791657,0.172666666666667,NA,0,0,NA
NA,0.091886217678673,0.292211184709525,0.447753641221934,15.6583063969109,74.118,9.27891071489068,0.64,NA,0,0,NA
NA,0.0175533351336754,0.0746884765248255,0.56896917557193,14.1013900066657,69.415,10.7066543606444,0.893,NA,0,0,NA
NA,0.163768943470904,0.69320617179778,0.299324676482308,18.6053580737329,22.174,7.87410906517682,0.242,NA,1,0,NA
NA,0,0.29857565170653,0.25,13.7371273059656,57.74,9.26803484470649,0.269,NA,0,0,NA
NA,0.0259882998335394,0.0536763507749523,0.562472601414006,15.527688615883,85.596,10.9645520545371,0.884,NA,0,0,NA
NA,0.00707224038069611,0.154133633265329,0.247958150846694,18.0315461245908,81.242,10.8936753641311,0.885,NA,0,0,NA
