"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Bosnia and Herzegovina",0.558990239226773,0.0432196256547765,0.854649307150094,0.0677046695840007,7.47858537258691,0.82171135902675
"India",0.457573349366884,0.0648373176045051,0.530427661207565,0.0616734185143848,5.00496936371795,0.764408210107176
"Solomon Islands",0.422900624349636,0.0111731701064704,0.522227081624981,0.00509695127694611,4.29627408391956,0.826752748057219
"Kenya",0.39661384412699,0.0823877596551511,0.439012091288193,0.0916700087625373,2.77622982487796,0.883625577114581
"Belgium",0.380929114424647,0.0327907017110524,0.739365506934212,0.0752418876379058,6.9464935521541,0.616965890055241
"Burkina Faso",0.367514758438879,0.135433325166157,0.591844301214044,0.36828225781847,3.68613215337914,0.808965569733167
"Benin",0.365450974390368,0.0759752002922272,0.482958477700519,0.0673410027744985,3.61248178727537,0.846427141913454
"Pakistan",0.361605612209177,0.0517636382753741,0.682383056610502,0.28580197005398,4.21646742650367,0.771282784074271
"Timor-Leste (East Timor)",0.306122448979592,0.432922519093805,1,NA,2.13333333333334,0.457050446009283
"Peru",0.30346484088225,0.277942687507477,0.627456077440313,0.526856667863581,3.56500736859342,0.748897954096386
"Afghanistan",0.282469613427907,0.015543128372086,0.418646606984846,0.0205376486123596,5.94018342642869,0.608585421084978
"South Africa",0.245035270472104,0.0108452526509641,0.625009834260233,0.0950328946152532,1.9366617439309,0.578096717618063
"Ethiopia",0.241895959213904,0.0460240025620471,0.34484547790443,0.0913173037995888,1.85609315800617,0.855712184624676
"Haiti",0.222222222222222,0.314269680527354,1,NA,3.8139107895021,0.459147917027245
"Congo, Democratic Republic of the",0.217745124716553,0.30793810851477,0.452128993229877,NA,3.07127264585705,0.445119892244146
"Ghana",0.216457509578059,0.00697175929953919,0.364670773932931,0.0229700602874704,1.77497012767027,0.708784428680489
"Ecuador",0.194186853650387,0.0471502311812845,0.28536393407907,0.0378949853901374,3.0838980026002,0.81232009537086
"Iraq",0.189225641962739,0.229453783964972,0.726664532650448,0.386554725003325,1.50936978391302,0.519313940574736
"Bolivia",0.185024938405144,0.035948100287472,0.392226455724836,0.027142644322349,2.85128751552128,0.793259685445361
"Iran, Islamic Republic of",0.183279043232408,0.0344249411989891,0.306067791292794,0.11675310552454,4.63360946631617,0.616811407192649
"Bahrain",0.177685950413223,0.251285880917533,0.735042735042735,NA,2.55084745762712,0.488010324118308
"Israel",0.17691581642544,0.15321443443033,0.45185700144732,0.0120119069923949,4.1146616660037,0.418941111654774
"Spain",0.172756865366421,0.0342015324916991,0.561560851718192,0.0180360912665818,3.76320532089488,0.433958207334296
"Canada",0.165147805973056,0.119999123590018,0.481307184822282,0.262137893138779,2.30860957354532,0.552421884961166
"Dominican Republic",0.141305706099343,0.120810321198543,0.295546379714654,0.321992505462205,2.00159368189474,0.92741646853282
"Indonesia",0.139978840270239,0.121385864123403,0.229774116410599,0.00743898366123827,4.20842375176733,0.507390646203942
"Sierra Leone",0.136856047660107,0.0202444837751609,0.170515958235673,0.02835121095028,1.84675810531601,0.838911268390505
"El Salvador",0.134195524036145,0.017283821981829,0.477677622751255,0.0755691253310156,4.6299582823529,0.666106632511293
"Panama",0.122652018169166,0.0387081348233063,0.301189067964138,0.0652923774643336,3.30029787276856,0.656130797559805
"Switzerland",0.122637746581862,0.00198705434403452,0.255129097025461,0.0121767761262601,5.52064133230051,0.572792254501891
"Zambia",0.116390134611276,0.116787206582323,0.234188977588602,0.0984543934311996,2.07744051148916,0.52852018721551
"Russian Federation",0.114578647281932,0.0199271853388928,0.233899639324414,0.0559880295457718,3.95019019364667,0.312464312603297
"Guyana",0.111686390532545,0.157948408223622,0.348482170048312,NA,1.90313653136532,0.426340738370782
"Turkey",0.109074266204459,0.0470099159646558,0.332027990074086,0.150520869180834,2.6171025136293,0.333536142591757
"Slovakia",0.104431212484994,0.0730175609380456,0.899494092192519,0.0109211265657559,5.54402972326614,0.254751414214586
"Ukraine",0.10347599688503,0.0481170630676049,0.286729650560845,0.0635301908872589,4.55644544619499,0.282106317998174
"Rwanda",0.103199018045488,0.00282126173215513,0.206854345165239,0.00519295065742875,1.43404633870749,0.99838766113206
"Gambia",0.100802951388889,0.142556900981403,0.247136706849549,NA,1.49567847882454,0.410090227126646
"Central African Republic",0.097687939426717,0.138151608817545,0.261468790836753,NA,2.01309328968904,0.394337972747371
"Guinea-Bissau",0.0927532272385765,0.131172871914668,0.225840063252026,NA,1.29200476035919,0.922371093087802
"Romania",0.091791624131642,0.0798835916297403,0.823703161813413,0.0382890102519923,3.05980889212995,0.167482011556555
"Trinidad and Tobago",0.086725844301602,0.122648865219583,0.249107665118008,NA,1.827688973178,0.383975064775952
"Senegal",0.0855440215301805,0.120977515427917,0.314052495098312,NA,2.988995215311,0.275625256172978
"Sri Lanka",0.076138735042133,0.107676431718516,0.424700669045555,NA,4.41715701455559,0.25027703147015
"Guatemala",0.0752827780932448,0.0876176639018924,0.374743300476504,0.0850956246254632,4.43615077572899,0.359130738064759
"Guinea",0.0748137542769785,0.105802625950551,0.200427060512393,NA,2.28039402056511,0.8512202323383
"Cote d'Ivoire (Ivory Coast)",0.0742293333333335,0.104976129925913,0.195641850097428,NA,1.53056707754994,0.459717336520502
"Algeria",0.073932705692781,0.0186786988689083,0.177327502619085,0.0764807548802989,2.6386425624104,0.901606663431615
"Gabon",0.070043873074176,0.0990569952626394,0.168821618638636,NA,1.14539707625444,0.392105799288364
