"country","mean_transport","sd_transport","mean_evwt","sd_evwt","mean_enp","mean_group_entropy"
"Bosnia and Herzegovina",0.470913449148301,0.0938126566470355,0.725078850143962,0.147440147719445,6.73641304347826,0.82171135902675
"Lebanon",0.462084088154413,0.0536211967617711,0.810096152078223,0.268564597277814,4.66598184424272,0.903725153656574
"Malaysia",0.39548476285378,0.09695630603742,0.730605844893967,0.209027719240824,5.24402353166805,0.741091349173291
"Solomon Islands",0.362652984541064,0.0213522969226741,0.451597855572864,0.0343416344653639,3.02469785109039,0.827080412289728
"Peru",0.362623456790124,0.429982030954857,0.567338704974788,0.611875471338562,2.1958762886598,0.727317535383596
"Benin",0.342809917355372,0.179055799797982,0.4457074780817,0.199353070879924,3.00748699494626,0.850557901522171
"Belgium",0.339612493482819,0.228875394370976,0.659942864971168,0.461145445877769,5.41729237403463,0.616343066148851
"India",0.335032532640744,0.0519862540754337,0.387121374697876,0.0703553624760153,3.29057812700837,0.765967063030088
"Guinea",0.33130015202591,0.160010192843397,0.655088777035492,0.487778129331098,2.04640733264226,0.850943115699814
"Guinea-Bissau",0.32583118514112,0.167744479984038,0.625076547295547,0.530221831666385,1.8463905917678,0.923404185312138
"Pakistan",0.305323467108684,0.0794207980307829,0.594007013924764,0.359183480247919,2.87720856046183,0.780777350741149
"Mali",0.281900640093696,0.0437022086261699,0.408563623181283,0.0646669284041395,5.42222586226183,0.727187925296307
"Latvia",0.279897990104322,0.0654449662734767,0.78598248984873,0.0871288995722503,4.20087885921487,0.565233631714067
"Niger",0.276939164396024,0.0494551873837485,0.443917982482037,0.103794494219009,4.9664132585305,0.686376862930408
"Congo, Democratic Republic of the",0.272619662534435,0.385542424125775,0.566444544710188,NA,5.44297872340425,0.445497938507754
"Mauritius",0.268389270874555,0.0213445442529369,0.41444921286903,0.0459220150058282,2.75480730949385,0.727118616254876
"Moldova, Republic of",0.254895990356856,0.10747745043428,0.532699390805867,0.137575063264528,3.42828485416018,0.576241971339097
"Afghanistan",0.251304940276966,0.0386935794084144,0.379536658542878,0.0118779267050639,1.88565859894135,0.606532884462103
"Congo",0.25,NA,0.666666666666667,NA,2,0.811278124459133
"Netherlands",0.238678821508786,0.290996534625756,0.61366905854496,0.546354456970084,2.51914687348521,0.556327831165519
"Haiti",0.222222222222222,0.314269680527354,1,NA,2.37372048448269,0.459147917027245
"Macedonia",0.214016747977694,0.1492044873989,0.51068189906283,0.383187617751399,2.60893825926831,0.440455995350921
"Kenya",0.18693677779326,0.243886269056156,0.312009807015523,0.28966375748578,2.09311157500219,0.84086573832751
"Bolivia",0.183905325443787,0.0532212914597218,0.385958612560746,0.0668013318869712,1.95239108213742,0.796214622587284
"Myanmar",0.183524330460319,0.0866912471529674,0.657992022357821,0.297600674341115,2.41823999177753,0.383577158119433
"Ethiopia",0.163768943470904,0.200768746410842,0.323580358085241,0.2696981011559,1.54322617542864,0.855055473432012
"Timor-Leste (East Timor)",0.163265306122449,0.230892010183362,0.547619047619048,NA,1.3448275862069,0.457050446009283
"Algeria",0.160391394786625,0.00658075578111005,0.373033682097752,0.053822581895991,4.61612269453733,0.90340353975308
"Israel",0.155466338734568,0.145313735936327,0.415102955608361,0.146074735601955,2.66847265221878,0.416709425170804
"Gambia",0.152609423995331,0.132168010297285,0.281910141685905,0.000781132916020335,1.46229408931149,0.568946378164043
"Namibia",0.151238109393579,0.175552440560375,0.367039832115009,0.314303140747383,2.24274434608216,0.524284034519569
"Iraq",0.149416890939382,0.255508443772402,0.507017543859649,0.697182475485684,1.27462623113442,0.518936820138862
"Indonesia",0.147017873092358,0.127681544148543,0.246170805173788,0.0102814607097878,3.56573035987323,0.507699582795342
"Zambia",0.142183215688138,0.160361221624728,0.306797604874051,0.244874555540408,2.03106447889351,0.527649086395732
"Trinidad and Tobago",0.141414141414141,0.199989796699226,0.436086990204536,NA,1.28773509082141,0.383975064775952
"South Africa",0.140765938080555,0.1196911814969,0.328932642932255,0.264625156322494,2.05400490556745,0.575714860876479
"Spain",0.137876159910905,0.0903435230360084,0.421161576172262,0.231314232412257,2.6221185812407,0.433545482016802
"Sierra Leone",0.134673312757202,0.213618645556092,0.257062728747842,0.320866825979356,1.57353709619206,0.838897831312474
"Montenegro",0.134634374679389,0.139084241128414,0.63284699153144,0.519232764042321,2.26524685382381,0.666443206504138
"Ukraine",0.130800282396736,0.007703696262837,0.368043161343011,0.186005280445866,4.07469342962056,0.306555883393507
"Central African Republic",0.126436781609195,0.178808611334529,0.344274312423977,NA,1.45737414621806,0.392120449280687
"New Zealand",0.122494776253919,0.0337353170614165,0.384572129613668,0.138113468080391,2.90451995004809,0.499889130576891
"Paraguay",0.121142916565214,0.0539701216360898,0.249441876367824,0.085006316773864,3.28437843385422,0.78913780713679
"Panama",0.115519407524962,0.0347183569593076,0.277079307690852,0.0321370909137067,2.99664988907092,0.665917002078217
"Guyana",0.112330437433318,0.158859228085501,0.332376108940161,NA,1.59168053244592,0.421323301260258
"Switzerland",0.112129159382714,0.0057725681795288,0.226179918239952,0.013444406717103,4.43296367620692,0.570947773282474
"Ghana",0.111391585225776,0.114850422075705,0.282999429765557,0.132606122152125,1.71476329223231,0.708763048238089
"Canada",0.105050550792309,0.0282127816313897,0.331197256934779,0.00302086821310012,1.95430722051854,0.552746635474941
"Malawi",0.100301099887883,0.1056150463279,0.253446343179766,0.117845322333745,1.64197116219476,0.668768899667182
"Rwanda",0.0991929316105141,0.0456784016694527,0.19851031435651,0.091425484948471,1.85552260934025,0.999558361741374
