country,row_id,person_name,election_year,pol_party,region,person_bday,gender_character,ethnic,unit_index
Bolivia,4,Mezoth JosÃ© Shiriqui Rapp,2009,Plan Progress for Bolivia - National Convergence (PPB-CN),Beni,1975-01-01,Male,Mestizo,1
Georgia,399,Mariam Lashkhi,2020,Georgian Dream-Democratic Georgia,,,Female,Georgian,2
Germany,810,Andreas  Wagner,2017,The Left,Bayern,,Male,German,3
Hungary,2091,Tibor Navracsics,2022,Fidesz-Christian Democratic People's Party,,,Male,Hungarian,4
Italy,3016,Alberto Luigi Gusmeroli,2018,Lega Nord,Piemonte 2,,Male,Italian,5
Japan,3729,Inao Minayoshi,2009,Democratic Party of Japan,Kyushu,1950-01-01,Male,Japanese,6
Lithuania,4439,Vigilijus JUKNA,2020,Labour Party,,,Male,Lithuanian,7
Mexico,5610,Yesenia Nolasco Ramírez,2012,Partido de la Revolución Democrática - PRD,Circ. 4,,Female,White/Mestizo,8
New Zealand,7225,Grant Robertson,2014,Labour Party,,,Male,European,9
Panama,7260,Miguel Fanovich,2014,Popular Party,Chiriqui,,Male,Mestizo,10
Russian Federation,9438, Konstantin Fyodorovich Zatulin,1993,Party of Russian Unity and Accord,,,Male,Russian,11
South Korea,10575,CHUNG Sye-kyun,2012,Democratic Party,National,,Male,Korean,12
Taiwan,10918,Cheng-Yu Chao,2020,Independent,,,Male,Chinese,13
Thailand,11063,Chuvit Witakpornpallop,2019,Pheu Thai,,,Male,Thai,14
Ukraine,13703,Viktor Medvedchuk,2019,Opposition Platform – For Life,National,,Male,Russian,15
